DESIGNATOR,Val,Package,MID X,MID Y ,ROTATION,LAYER
R53,1k-0.25W,R_1206_3216Metric,125.857,-69.596,90,top
RV1,R_Potentiometer_Trim,VG039NCHXTB102,82.55,-60.833,0,top
SW1,ML6-H4K12PGVA,ML6-H4,121.158,-50.673,0,top
SW2,TS-1103S-B-G,TS-1103S-X-X,98.425,-60.833,0,top
SW3,TS-1103S-B-G,TS-1103S-X-X,110.998,-73.406,0,top
SW4,TS-1103S-B-G,TS-1103S-X-X,138.938,-68.453,0,top
SW5,TS-1103S-B-G,TS-1103S-X-X,85.852,-73.406,0,top
SW6,TS-1103S-B-G,TS-1103S-X-X,98.425,-85.979,0,top
SW7,TS-1103S-B-G,TS-1103S-X-X,126.238,-84.963,0,top
